Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
B - Cell: The (01:15:00 to 07:00:00),06/15/2026,05:00 AM,06/15/2026,08:50 AM,False,"Full Chapter: Bio - Cell: The Unit of Life
Speed: 1.5x",,True
P - Basic Math (00:00:00 to 00:16:40),06/15/2026,08:50 AM,06/15/2026,09:00 AM,False,"Full Chapter: Phy - Basic Math, Vectors, Units & Dimensions
Speed: 1.66x (Split Speed)",,True
🥪 Breakfast Break,06/15/2026,09:00 AM,06/15/2026,09:30 AM,False,Routine Break,,True
P - Basic Math (00:16:40 to 06:56:40),06/15/2026,09:30 AM,06/15/2026,01:30 PM,False,"Full Chapter: Phy - Basic Math, Vectors, Units & Dimensions
Speed: 1.66x (Split Speed)",,True
🍱 Lunch Break,06/15/2026,01:30 PM,06/15/2026,01:45 PM,False,Routine Break,,True
P - Basic Math (06:56:40 to 07:00:00),06/15/2026,01:45 PM,06/15/2026,01:47 PM,False,"Full Chapter: Phy - Basic Math, Vectors, Units & Dimensions
Speed: 1.66x (Split Speed)",,True
B - Biomolecules (00:00:00 to 01:23:02),06/15/2026,01:47 PM,06/15/2026,02:42 PM,False,"Full Chapter: Bio - Biomolecules
Speed: 1.5x",,True
B - CEEL CYCLE (00:00:00 to 02:30:00),06/15/2026,02:42 PM,06/15/2026,04:22 PM,False,"Full Chapter: Bio - Cell Cycle and Cell Division
Speed: 1.5x",,True
B - Bio Class (00:00:00 to 00:43:06),06/15/2026,04:22 PM,06/15/2026,04:51 PM,False,"Full Chapter: Bio - Biological Classification
Speed: 1.5x",,True
B - Plant Kingdom (00:00:00 to 00:51:27),06/15/2026,04:51 PM,06/15/2026,05:25 PM,False,"Full Chapter: Bio - Plant Kingdom
Speed: 1.5x",,True
B - Animal Kingdom (00:00:00 to 00:51:55),06/15/2026,05:25 PM,06/15/2026,06:00 PM,False,"Full Chapter: Bio - Animal Kingdom
Speed: 1.5x",,True
☕ Evening Snack Break,06/15/2026,06:00 PM,06/15/2026,06:15 PM,False,Routine Break,,True
B - Animal Kingdom (00:51:55 to 02:20:21),06/15/2026,06:15 PM,06/15/2026,07:13 PM,False,"Full Chapter: Bio - Animal Kingdom
Speed: 1.5x",,True
B - Morphology (00:00:00 to 00:44:56),06/15/2026,07:13 PM,06/15/2026,07:43 PM,False,"Full Chapter: Bio - Morphology of Flowering Plants
Speed: 1.5x",,True
B - Anatomy (00:00:00 to 00:30:00),06/15/2026,07:43 PM,06/15/2026,08:03 PM,False,"Full Chapter: Bio - Anatomy of Flowering Plants
Speed: 1.5x",,True
B - Structural Org (00:00:00 to 01:24:08),06/15/2026,08:03 PM,06/15/2026,09:00 PM,False,"Full Chapter: Bio - Structural Organisation in Animals
Speed: 1.5x",,True
🍽️ Dinner Break,06/15/2026,09:00 PM,06/15/2026,09:15 PM,False,Routine Break,,True
B - Structural Org (01:24:08 to 02:42:29),06/15/2026,09:15 PM,06/15/2026,10:07 PM,False,"Full Chapter: Bio - Structural Organisation in Animals
Speed: 1.5x",,True
B - Human Repro (00:00:00 to 02:35:32),06/15/2026,10:07 PM,06/15/2026,11:50 PM,False,"Full Chapter: Bio - Human Reproduction
Speed: 1.5x",,True
B - Repro Health (00:00:00 to 00:12:07),06/15/2026,11:50 PM,06/15/2026,11:59 PM,False,"Full Chapter: Bio - Reproductive Health
Speed: 1.5x",,True